고객상황,검색표현,월검색량,경쟁도,등록상태
감정·한계,월요병,1420,낮음,상담그룹
감정·한계,직장스트레스,530,높음,상담그룹
감정·한계,일하기싫다,460,중간,상담그룹
감정·한계,회사스트레스,230,높음,상담그룹
감정·한계,퇴사준비,190,높음,상담그룹
감정·한계,번아웃퇴사,140,중간,상담그룹
감정·한계,우울증퇴사,100,높음,상담그룹
감정·한계,공황장애퇴사,60,높음,상담그룹
감정·한계,퇴사욕구,60,중간,상담그룹
감정·한계,회사다니기싫다,50,낮음,상담그룹
감정·한계,출근공포,30,낮음,상담그룹
괴롭힘·못 버티겠음,퇴사하고싶다,390,중간,상담그룹
괴롭힘·못 버티겠음,직장괴롭힘,310,높음,상담그룹
괴롭힘·못 버티겠음,출근하기싫다,290,중간,상담그룹
괴롭힘·못 버티겠음,회사가기싫다,70,높음,상담그룹
괴롭힘·못 버티겠음,직장상사스트레스,60,낮음,상담그룹
괴롭힘·못 버티겠음,직장따돌림,30,높음,상담그룹
괴롭힘·못 버티겠음,직장폭언,30,높음,상담그룹
괴롭힘·못 버티겠음,회사그만두고싶다,30,낮음,상담그룹
권고사직 상황,권고사직,13630,높음,상담그룹
권고사직 상황,해고예고수당,5610,높음,미등록(입찰가 초과)
권고사직 상황,권고사직위로금,3160,높음,상담그룹
권고사직 상황,권고사직회사불이익,2430,높음,상담그룹
권고사직 상황,부당해고,2410,높음,미등록(입찰가 초과)
권고사직 상황,해고통보기간,1770,높음,미등록(입찰가 초과)
권고사직 상황,해고통보,280,높음,도구그룹
권고사직 상황,권고사직불이익,120,높음,상담그룹
권고사직 상황,권고사직통보,60,높음,상담그룹
근속기간별,수습기간해고,4650,높음,미등록(입찰가 초과)
근속기간별,수습기간퇴사,1620,높음,상담그룹
근속기간별,계약직중도퇴사,280,중간,상담그룹
근속기간별,입사한달퇴사,130,높음,상담그룹
근속기간별,신입퇴사,120,높음,상담그룹
근속기간별,6개월퇴사,100,중간,상담그룹
근속기간별,3개월퇴사,80,중간,상담그룹
근속기간별,수습퇴사,80,높음,상담그룹
근속기간별,계약만료퇴사,70,높음,상담그룹
근속기간별,1년미만퇴사,40,중간,상담그룹
근속기간별,1년채우고퇴사,30,중간,상담그룹
도와줄 사람 찾기,노동변호사,670,높음,미등록(입찰가 초과)
도와줄 사람 찾기,노동상담,160,낮음,상담그룹
도와줄 사람 찾기,노동법상담,90,높음,미등록(입찰가 초과)
도와줄 사람 찾기,무료노동상담,50,높음,상담그룹
도와줄 사람 찾기,근로자상담,40,높음,상담그룹
도와줄 사람 찾기,퇴사상담,40,높음,상담그룹
돈 계산,실수령액,6340,높음,도구그룹
돈 계산,일할계산,3550,낮음,도구그룹
돈 계산,퇴직금기준,1840,낮음,상담그룹
돈 계산,중도퇴사급여,70,높음,상담그룹
돈 계산,퇴직금얼마,50,낮음,상담그룹
돈 계산,연차소진퇴사,30,높음,상담그룹
돈을 못 받음,임금체불,5330,높음,미등록(입찰가 초과)
돈을 못 받음,퇴직금미지급,860,높음,미등록(입찰가 초과)
돈을 못 받음,연차수당미지급,700,높음,상담그룹
돈을 못 받음,퇴직정산,350,높음,상담그룹
돈을 못 받음,퇴사후월급,280,높음,상담그룹
돈을 못 받음,퇴직금안주면,250,높음,상담그룹
돈을 못 받음,급여미지급,210,높음,상담그룹
돈을 못 받음,퇴직금체불,150,높음,상담그룹
돈을 못 받음,퇴직금지연,70,높음,상담그룹
말 꺼내기 어려움,퇴사통보기간,7070,높음,상담그룹
말 꺼내기 어려움,퇴사고민,280,높음,상담그룹
말 꺼내기 어려움,퇴사면담,200,중간,상담그룹
말 꺼내기 어려움,사직서제출시기,180,중간,상담그룹
말 꺼내기 어려움,퇴사시기,100,중간,상담그룹
말 꺼내기 어려움,퇴사말하기,90,중간,상담그룹
말 꺼내기 어려움,퇴사결심,60,중간,상담그룹
말 꺼내기 어려움,퇴사통보시기,40,높음,상담그룹
말 꺼내기 어려움,퇴사얘기,30,중간,상담그룹
말 꺼내기 어려움,퇴사한달전,30,중간,상담그룹
사정별 퇴사,육아휴직후퇴사,1480,높음,상담그룹
사정별 퇴사,질병퇴사,130,높음,상담그룹
사정별 퇴사,임신퇴사,100,중간,상담그룹
사정별 퇴사,건강상퇴사,40,낮음,상담그룹
실업급여 연결,실업급여조건,123500,높음,미등록(입찰가 초과)
실업급여 연결,실업급여신청,98400,중간,도구그룹
실업급여 연결,자진퇴사실업급여,4230,높음,상담그룹
실업급여 연결,계약만료실업급여,2860,높음,상담그룹
실업급여 연결,퇴사후실업급여,930,높음,도구그룹
실업급여 연결,이직사유,840,높음,상담그룹
실업급여 연결,이직확인서정정,140,중간,도구그룹
안 보고 그만두고 싶음,당일퇴사,750,중간,상담그룹
안 보고 그만두고 싶음,무단퇴사,590,높음,상담그룹
안 보고 그만두고 싶음,퇴사대행,100,중간,상담그룹
안 보고 그만두고 싶음,잠수퇴사,90,낮음,상담그룹
안 보고 그만두고 싶음,퇴직대행,90,높음,상담그룹
안 보고 그만두고 싶음,퇴사문자통보,70,중간,상담그룹
안 보고 그만두고 싶음,카톡퇴사통보,50,낮음,상담그룹
안 보고 그만두고 싶음,퇴사통보문자,50,낮음,상담그룹
업종·직군,학원강사퇴사,50,높음,상담그룹
업종·직군,생산직퇴사,40,중간,상담그룹
업종·직군,중소기업퇴사,30,높음,상담그룹
업종·직군,콜센터퇴사,30,낮음,상담그룹
절차 실무,사직서양식,26260,중간,도구그룹
절차 실무,경력증명서,18070,높음,도구그룹
절차 실무,퇴직증명서,4780,중간,도구그룹
절차 실무,인수인계서,1510,중간,도구그룹
절차 실무,퇴사서류,1130,높음,도구그룹
절차 실무,사직원,860,낮음,도구그룹
절차 실무,퇴사확인서,850,높음,도구그룹
절차 실무,퇴사인사,640,높음,상담그룹
절차 실무,퇴사절차,360,높음,도구그룹
절차 실무,4대보험상실,200,높음,상담그룹
절차 실무,퇴사후서류,50,높음,도구그룹
협박·불이익 당함,권고사직거부,620,높음,상담그룹
협박·불이익 당함,무단퇴사손해배상,270,높음,상담그룹
협박·불이익 당함,퇴사종용,90,낮음,상담그룹
협박·불이익 당함,퇴사후연락,50,중간,상담그룹
협박·불이익 당함,퇴사압박,40,높음,상담그룹
협박·불이익 당함,퇴사강요,30,높음,상담그룹
협박·불이익 당함,퇴사손해배상,30,중간,상담그룹
회사가 안 놔줌,사직서반려,250,중간,상담그룹
회사가 안 놔줌,사직서수리거부,140,중간,상담그룹
회사가 안 놔줌,퇴사거부,110,높음,상담그룹
회사가 안 놔줌,퇴사반려,90,중간,상담그룹
회사가 안 놔줌,인수인계안하고퇴사,60,낮음,상담그룹
회사가 안 놔줌,퇴사거절,30,높음,상담그룹
회사와 다툼,노동청신고,12910,높음,미등록(입찰가 초과)
회사와 다툼,부당대우,100,중간,상담그룹
회사와 다툼,회사고발,30,높음,상담그룹
